superconductors,measured_Tc,materials_family
Mo3Os1,11.0225,others
Li1.07Ti1.93O4,11.05,others
Tc0.75V0.25,11.07,others
Mo0.52Re0.48,11.1,others
V0.75Si0.175Al0.075,11.1,others
Y2I1.5Br0.5C2,11.1,others
Ba1Fe1.776Co0.224As2,11.1,iron-based
Mn0.2Fe0.8Se0.85,11.1,iron-based
Zr2Rh1H0.08,11.1,others
Ba0.6K0.4Bi0.933Pr0.067O3,11.1,others
Ta0.5Nb0.5C1,11.1,others
Pb1Mo6S7,11.1,others
La1.8Sr0.2Cu0.9727Zn0.0273O4,11.1,cuprate
Mg0.31Al0.69B2,11.1,others
Au0.25Nb0.75,11.1,others
Ba0.5K0.5Fe1.8Ni0.2As2,11.1,iron-based
Rh1Zr2,11.165,others
V3Ge0.7Al0.3,11.17,others
Y1.8Ru0.2C2.7,11.2,others
La1.79Sr0.21Cu0.98Ru0.02O4,11.2,cuprate
V3Si0.76Al0.24,11.2,others
Y0.9Pr0.1Ni2B2C1,11.2,others
Gd0.6Pr0.4Ba2Cu3O6.95,11.2,cuprate
Y2I1.6Br0.4C2,11.2,others
C1.35Ru0.1Y0.9,11.2,others
V3Ga0.994Cd0.006,11.2,others
V0.75Ge0.025Al0.225,11.2,others
Nb78Ga21Mn1,11.2,others
Li2.6Ti1.9O4,11.2,others
B5Mo1.69Zr0.31,11.2,others
Rh0.33Zr0.66,11.2,others
Nb80Ga19Mn1,11.2,others
Ba1Pb0.7Bi0.3O3,11.23,others
La1Mo6Se8,11.233333,others
Tc0.8V0.2,11.24,others
Mo0.55Pt0.05Re0.425,11.25,others
Li1.05Ti1.95O4,11.25,others
Rh0.33Zr0.67,11.25,others
V2.7Cr0.3Si1,11.3,others
Y1Ba2Cu2.6Co0.4O7.03,11.3,cuprate
Y1.8Si0.2C2.7,11.3,others
N0.7Nb1,11.3,others
Mo0.6W0.4C1,11.3,others
Nb1N1.34O0.27,11.3,others
V0.75Ge0.13Al0.12,11.3,others
Si1V2.7Cr0.3,11.3,others
Sm0.85Gd1Ce0.15Cu1O3.97,11.3,cuprate
C1.35Si0.1Y0.9,11.3,others
Ba1Fe1.935Ni0.065As2,11.3,iron-based
Ge0.5Nb3Sn0.5,11.3,others
Cu1.6Mo6S8,11.3,others
Mo0.4W0.6C1,11.3,others
Fe0.98Ni0.02Se0.82,11.3,iron-based
Ba0.9K0.1Bi0.4Pb0.6O3,11.3,others
Ba0.6K0.4Bi0.7Pb0.3O3,11.3,others
Fe1Te0.69Se0.25S0.06,11.3,iron-based
C6Ca1,11.303,others
Tc0.9V0.1,11.32,others
Na2Cs1C60,11.328571,others
Nb3Rh0.02Au0.98,11.4,others
Li2.6Ti1.7O4,11.4,others
V0.75Ge0.1875Al0.0625,11.4,others
Mo0.8Hf0.2C1,11.4,others
V0.741Ga0.152Al0.107,11.4,others
Ba1Fe1.772Co0.228As2,11.405,iron-based
La1Fe1As0.2P0.8O1,11.42,iron-based
Sr0.4K0.6Bi1O3,11.421667,others
Mo1B0.05C0.82,11.5,others
Nb2.73Ti0.27Al1,11.5,others
Fe1Te0.925Se0.075,11.5,iron-based
Mo0.62Re0.38,11.5,others
C1.45Y1,11.5,others
C1.45V0.1Y0.9,11.5,others
Y1.8V0.2C2.9,11.5,others
K0.26Zr1N1Cl1,11.5,others
Nb3Au0.7Pt0.3,11.5,others
V0.767Ga0.18Al0.053,11.5,others
V3Ga0.937In0.063,11.5,others
Pr0.8Sr0.2Fe0.8Co0.2As1O1,11.5,iron-based
Mo0.84Hf0.16C1,11.5,others
Nb0.8Ga0.17Cr0.03,11.5,others
V2.883W0.117Ga1,11.5,others
Mo0.9Zr0.1C1,11.5,others
Y1Ni1.8Cu0.2B2C1,11.55,others
La1.9Sr0.1Cu0.99Zn0.01O4,11.59,cuprate
Nb80Ga17Fe3,11.6,others
Nb0.9W0.1C1,11.6,others
Y2C2Br0.5I1.5,11.6,others
Th1.2Lu0.8C3,11.6,others
La1.85Sr0.15Cu0.971Ni0.029O4,11.6,cuprate
Ho0.5Y0.5Ni2B2C1,11.6,others
Li0.18Zr1N1Cl1,11.6,others
Ba1Fe1.906Co0.042Cu0.052As2,11.6,iron-based
La1.85Sr0.15Cu0.988Fe0.012O4,11.6,cuprate
Nd1.85Ce0.15Cu0.995Ni0.005O4,11.6,cuprate
Fe1.18Te0.6Se0.4,11.6,iron-based
Ca9.5Yb0.5Pt3Fe10As18,11.6,iron-based
Gd1Fe0.7Ir0.3As1O1,11.6,iron-based
Mo0.6Re0.4,11.633333,others
Fe1.02Te0.5Se0.3S0.2,11.64,others
Ru0.9Nb0.1Sr2Gd1Cu2O8,11.65,cuprate
La1Fe1As0.15P0.85O1,11.67,iron-based
Nb0.15Mo0.85C1,11.673,others
C0.98Nb1,11.68,others
Li0.6Zr1N1Cl1,11.7,others
Mo0.3Si1,11.7,others
Mo0.9W0.1C1,11.7,others
Nd0.75Pr0.25Ba2Cu3O6.96,11.7,cuprate
Nb3Al0.55Ge0.45,11.7,others
V2.799Mo0.201Ga1,11.7,others
La1.937Sr0.063Cu1O4,11.7,cuprate
Sr1Fe1.85Pt0.15As2,11.7,iron-based
V0.747Ga0.131Al0.122,11.7,others
V0.75Ge0.15Al0.1,11.7,others
Th1.4Lu0.3C3,11.7,others
V0.77Si0.21Al0.02,11.7,others
Pb1Mo6S6O2,11.7,others
Li1.035Ti1.965O4,11.75,others
Lu0.772Dy0.228Ni2B2C1,11.77,heavy-Fermion
Hf1Ru1P1,11.796667,others
Y1Ni0.8Pd1.2B2C1,11.8,others
Y1Ni1.82Pd0.18B2C1,11.8,others
Zr0.61Rh0.285O0.105,11.8,others
Y1Ni1.94Co0.06B2C1,11.8,others
Mo1B0.03C0.82,11.8,others
Ba0.8Na0.2Fe2As2,11.8,iron-based
V0.75Si0.2Al0.05,11.8,others
Lu0.8Dy0.2Ni2B2C1,11.8,heavy-Fermion
Nb0.8Ga0.17Ni0.03,11.8,others
Fe0.97Zn0.03Se0.3Te0.7,11.8,iron-based
Ce1Fe1As1F0.05O0.95,11.8,iron-based
N0.75H2.25Na1K2C60,11.8,others
Ta0.05Mo0.95C1,11.8,others
Mo0.66Re0.34,11.8,others
Li1.08Ti1.92O4,11.8,others
V0.746Ga0.169Al0.085,11.8,others
O0.105Rh0.285Zr0.61,11.8,others
Y1Ni1Pd1B2C1,11.8,others
Ba0.5K0.5Fe1.8Cu0.2As2,11.83,iron-based
C0.017N0.632Ta1,11.84,others
C0.97Ta1,11.84,others
Ca10Pt3.474Fe9.526As18,11.85,iron-based
La1Fe0.925Ir0.075As1O1,11.85,iron-based
Nb2.7Mo0.3Al1,11.85,others
Li1Ti2O4,11.872727,others
V2.7Mn0.3Si1,11.9,others
Mo0.9Hf0.1C1,11.9,others
Fe1.03Te0.9Se0.1,11.9,iron-based
Y0.9Ce0.1Ni2B2C1,11.9,others
V3Ga0.8Si0.2,11.9,others
Fe0.03Te0.9Se0.1,11.9,others
Li0.98Mg0.02Ti2O4,11.9,others
Sr2Y1Ru0.95Cu0.05O6,11.9,others
V2.793Ni0.207Ga1,11.9,others
Nd1Fe0.97Mn0.03As1F0.11O0.89,11.9,iron-based
Nb1N1.25O0.25,11.9,others
Pr1.85Ce0.15Cu0.995Ni0.005O4.065,11.92,cuprate
Lu0.75Th0.25Rh4B4,11.93,heavy-Fermion
Nb3Sn0.5Ge0.5,11.95,others
Y0.75Dy0.25Ni2B2C1,12,others
Sr0.7Ba1.3Y1Cu2.8Al0.2O7.03,12,cuprate
B0.015C0.985,12,others
C0.681Mo1,12,others
C0.985Nb1,12,others
Li2Na1N1C60,12,others
V0.743Ga0.181Al0.076,12,others
Y1.8Th0.2C2.7,12,others
Mo0.57Re0.43,12,others
Y0.9Gd0.1Ni2B2C1,12,others
Pb1Mo6.35S8,12,others
N0.86H2.58Na1Rb2C60,12,others
Mo0.8W0.2C1,12,others
N0.72H2.16Na1K3C60,12,others
Y0.85Pr0.15Ni2B2C1,12,others
Mo0.3Tc0.7,12,others
Mo0.8Ti0.2C1,12,others
Mo0.95Hf0.05C0.73,12,others
Li2Cs1C60,12,others
Nb0.75Mo0.25C1,12,others
Nd0.74Gd1.11Ce0.15Cu1O4,12,cuprate
La1.85Sr0.15Cu1O3.987,12,cuprate
Cu0.75Ga0.25Sr2Y1.3Ce0.7Cu2O8.6,12,cuprate
La1.931Sr0.069Cu1O4,12,cuprate
Sr2Sc1Fe1P1O3,12,iron-based
Sr0.81Eu0.19Fe1.76Co0.24As2,12,iron-based
Fe0.98Zn0.02Se0.3Te0.7,12,iron-based
Sm1.71125Y0.13875Ce0.15Cu1O4,12,cuprate
La1Fe0.95Rh0.05As1O1,12,iron-based
Ca1Fe1.73Co0.27As2,12,iron-based
Pr0.8Sr0.2Fe0.94Zn0.06As1O1,12,iron-based
Ba0.7K0.3Fe1.72Co0.28As2,12,iron-based
Ba0.7K0.3Fe1.66Co0.34As2,12,iron-based
Ba0.816K0.184Fe2As2,12,iron-based
Bi2Sr1.9La0.1Cu1O6.2,12,cuprate
Y1Sr2Cu2.7Ti0.3O7.144,12,cuprate
La1.35Sm0.45Sr0.2Cu1O4,12,cuprate
La1.75Nd0.1Ba0.15Cu1O4,12,cuprate
Nd1.85Ce0.15Cu0.975Zn0.025O4,12,cuprate
Sr0.2La1.8Cu0.99V0.01O4,12,cuprate
Y0.5Pr0.5Ba2Cu3O6.96,12,cuprate
Hg0.75Mo0.25Ba2Cu1O4.59,12,cuprate
Na0.5Fe1As1,12,iron-based
La1.64Nd0.2Ba0.16Cu1O4,12,cuprate
La1Fe0.95Co0.05As1O1,12.01,iron-based
C0.148N0.638Ta1,12.01,others
Nb0.3Mo0.7C1,12.1,others
Y1Ni1.6Pt0.4B2C1,12.1,others
Ga0.296V0.704,12.1,others
Li1.04Ti1.96O4,12.1,others
Ga29.6V70.4,12.1,others
Nb0.95Mo0.05C1,12.1,others
V0.767Ga0.086Al0.147,12.1,others
C0.69Mo1,12.1,others
Sr1Fe1.76Zn0.04Co0.2As2,12.1,iron-based
Y1Ni1.5Pd0.5B2C1,12.1,others
N0.9H2.7Na1Rb2C60,12.1,others
Gd0.51Pr1.34Ce0.15Cu1O1,12.1,cuprate
N0.89Nb1,12.1,others
Y1Ni1.3Pd0.7B2C1,12.1,others
V0.767Ga0.214Al0.022,12.1,others
Cr4.84Ga25V70.16,12.14,others
Li1Ti1O4,12.15,others
V75Si20Ge5,12.15,others
Ga28.1V71.9,12.2,others
Ga0.281V0.719,12.2,others
Pr1Fe0.9Co0.1As0.85P0.15O1,12.2,iron-based
La1Fe0.973Zn0.027As1F0.28O0.68,12.2,iron-based
K0.7Sr0.3Fe2As2,12.2,iron-based
Nb0.5Sn0.25Ta0.125V0.125,12.2,others
Nb2Ta0.5V0.5Sn1,12.2,others
V0.741Ga0.196Al0.063,12.2,others
Sm0.9Pr0.1Ba2Cu3O6.55,12.2,cuprate
K0.8La0.2Bi1O3,12.2,others
Fe1Te0.65Se0.3S0.05,12.2,iron-based
Pb0.8Yb0.2Mo6Se8,12.2,others
Li0.13Zr1N1Cl1,12.2,others
Mo1B0.01C0.82,12.2,others
Ca0.85Eu0.15Fe1As2,12.2,iron-based
Nb2Sn1Ta0.5V0.5,12.2,others
K0.75La0.25Bi1O3,12.2,others
Nb80Ga18Co2,12.2,others
Tl1Mo6Se7.5,12.2,others
Nb0.51Mo0.49C1,12.22,others
La1.901Ba0.099Cu1O4,12.3,cuprate
V0.725Ga0.203Al0.072,12.3,others
V2.802Ta0.198Ga1,12.3,others
Pb0.7Eu0.3Mo6.35S8,12.3,others
Nb1N1.22O0.18,12.3,others
Nb0.85Hf0.15N0.94,12.3,others
Pb0.9Yb0.1Mo6Se8,12.3,others
Ga0.222V0.778,12.3,others
Sr0.28Eu0.72Fe1.76Co0.24As2,12.3,iron-based
Ba1Fe1.946Pd0.054As2,12.3,iron-based
Lu1Ni1.95Co0.1B2C1,12.3,heavy-Fermion
Y1Ba2Cu3O6.346,12.3,cuprate
La1.9Sr0.1Cu0.99Ni0.01O4,12.3,cuprate
Ga22.2V77.8,12.3,others
V75Si20Ga5,12.33,others
Y1.8Cr0.2C2.9,12.4,others
Nb3Sn0.4Sb0.6,12.4,others
Nb0.8Ga0.18Ni0.02,12.4,others
Mo0.95Hf0.05C0.74,12.4,others
C1.45Cr0.1Y0.9,12.4,others
La1.84Ba0.16Cu0.99Zn0.01O4,12.4,cuprate
Ca10Pt3.51Fe9.49As18,12.44,iron-based
La1.885Sr0.115Cu0.9925Zn0.0075O4,12.45,cuprate
Pb1Mo6S8,12.45,others
B0.03C0.51Mo0.47,12.5,others
Nb1P1S1,12.5,others
Ba1Pb0.75Bi0.253,12.5,others
Ga0.2V0.8,12.5,others
C1Nb0.6W0.4,12.5,others
Nb78.1Sn7.3Al7.3Ge7.3,12.5,others
Nb0.5W0.5C1,12.5,others
Nb80Ga17.5Cr2.5,12.5,others
Mo5Pb1S7,12.5,others
Ga1Nb2.4V0.6,12.5,others
Li0.4Zr1N1Cl1,12.5,others
Ba1.9K0.1Pb0.85Bi0.15O4,12.5,others
La1.725Nd0.15Sr0.125Cu1O4,12.5,cuprate
Sr0.85Eu0.15Fe1.76Co0.24As2,12.5,iron-based
Bi2Sr1.6Eu0.4Cu1O6.301,12.5,cuprate
La3Ni2B2N2.7,12.5,heavy-Fermion
Fe2As2Ca4Al1.34Ti0.66O6,12.5,iron-based
Fe1.03Se0.25Te0.75,12.5,iron-based
Ba1Fe1.86Co0.12Mn0.02As2,12.5,iron-based
Ba1Fe1.974Mo0.026As2,12.5,iron-based
Sr2Cu1C0.95B0.05O5,12.5,cuprate
Pr1.11Gd0.74Ce0.15Cu1O4,12.5,cuprate
Au0.7Nb3Pt0.3,12.5,others
Sm1Fe0.7Ru0.3As1F0.15O0.85,12.5,iron-based
Al1Nb2.1V0.9,12.5,others
Fe1.053Se0.3Te0.7,12.5,iron-based
Y0.85Tb0.15Ni2B2C1,12.54,others
Mo6.35Pb1S8,12.6,others
Fe1Se0.45Te0.55,12.6,iron-based
Al0.5Ge0.5Nb1,12.6,others
Sn1Mo6S8,12.6,others
La1.85Sr0.15Cu0.982Zn0.018O4,12.6,cuprate
V0.75Si0.2125Al0.0375,12.6,others
V2.799Cr0.201Ga1,12.6,others
Sr1Fe1.7Pt0.3As2,12.6,iron-based
V0.737Ga0.213Al0.05,12.6,others
La1Fe0.925Co0.075As1O1,12.66,iron-based
Nb0.85Mo0.15C1,12.7,others
Pb1Mo6S7.9Se0.1,12.7,others
La1.9Th0.1C1.35,12.7,others
Fe1Se0.492Te0.328,12.7,others
Nb78.5Sn2.2Al9.6Ge9.6,12.7,others
Mo0.95Hf0.05C1,12.7,others
Ga0.8In0.2V3,12.7,others
Fe0.02Te0.85Se0.15,12.7,others
Fe1.02Te0.85Se0.15,12.7,iron-based
Fe1.03Te0.7Se0.3,12.7,iron-based
Ba0.45K0.55Bi1O3,12.7,others
Zr0.12N1Cl1,12.7,others
La1.882Ba0.118Cu0.99Ni0.01O4,12.7,cuprate
Y1Ni1.9Mn0.1B2C1,12.7,others
Ba0.81K0.19Fe2As2,12.733333,iron-based
Mo0.7Re0.3,12.75,others
Nd1.83Ce0.17Cu1O4,12.8,cuprate
Sm1Ba2Cu3O6.55,12.8,cuprate
Ba0.2K0.8Fe2As2,12.8,iron-based
Ba1Fe1.774Co0.226As2,12.8,iron-based
Pr0.9Sr0.1Fe1As1O1,12.8,iron-based
Ti0.013V0.987,12.8,others
Nb0.03Tc0.97,12.8,others
Mo0.84Ti0.16C1,12.8,others
La1.85Sr0.11Ho0.04Cu1O4,12.8,cuprate
Mo0.8V0.2C1,12.8,others
Nb1N1.08O0.27,12.8,others
Si1V2.7Nb0.3,12.8,others
Nb0.06Tc0.94,12.8,others
V2.7Nb0.3Si1,12.8,others
Y1Ni1.98Ru0.02B2C1,12.8,others
Nb0.75Au0.175Pt0.075,12.85,others
V3Si0.8Sn0.2,12.85,others
C1.5La0.9Th0.1,12.9,others
C1.5Ti0.3Y0.7,12.9,others
Al0.5Ga0.5V3,12.9,others
Ru0.8Rh0.2Sr2Gd1Cu2O8,12.9,cuprate
Fe1Te0.7Se0.3,12.9,iron-based
Fe1Se0.2Te0.8,12.9,iron-based
Y1.4Ti0.6C3,12.9,others
Nb0.24Tc0.76,12.9,others
Mo0.84V0.16C1,12.9,others
Mg0.5Al0.5B2,12.9,others
Fe1.03Te0.5Se0.5,12.9,others
Sr1Fe1.6Co0.4As2,12.9,iron-based
Ba1Fe1.925Ni0.075As2,12.95,iron-based
Y1.8Zr0.2C2.9,13,others
C1.45Y0.9Zn0.1,13,others
Zr1N1Cl1,13,others
Nb77.9Sn11.1Al5.5Ge5.5,13,others
Nb2.778Ti0.222Al1,13,others
Mo6S7Sn1,13,others
Nd1.3Ba1.3Ca0.4Cu3O6.912,13,cuprate
Y1Ni1.85Cu0.15B2C1,13,others
Co0.44Mo0.56,13,others
Sr0.5Rb0.5Bi1O3,13,others
Nb77.3Sn18.1Al2.3Ge2.3,13,others
K0.08Zr1N1Cl1,13,others
Li0.3Ti1.1S2,13,others
Ba1.6Sr0.4Yb0.8Ca0.2Cu3O6.04,13,cuprate
N0.84H2.52Na1K2C60,13,others
Nb0.65W0.35C1,13,others
Fe1.02Te0.5Se0.4S0.1,13,others
Ca1Li2,13,others
S1,13,others
Pr0.8Sr0.2Fe0.97Zn0.03As1O1,13,iron-based
Bi1.95Sr1.65La0.4Cu1F0.8O5.4,13,cuprate
Tl1Ba0.2Ca0.8La1Cu1O5,13,cuprate
Dy1Ba2Cu2.8Zn0.2O6.95,13,cuprate
Fe0.99Zn0.01Se0.3Te0.7,13,iron-based
Ca1Fe2As1.925P0.075,13,iron-based
La1.763Sr0.237Cu1O4,13,cuprate
Nd2Cu1F0.2O4,13,cuprate
C0.9N0.1Sr2Cu1O5.35,13,cuprate
Pr1.83Ce0.17Cu1O3.99,13,cuprate
Ca10Pt4.05Fe8.95As18,13,iron-based
Ca10Fe9.2Pt3.8As18,13,iron-based
Y1Sr2Cu2.7Co0.3O6.5,13,cuprate
Nd0.925Gd0.925Ce0.15Cu1O4,13,cuprate
Fe1.013Se0.3Te0.7,13,iron-based
Nd1.85Ce0.15Cu0.99Fe0.01O4,13,cuprate
Sr1.75K0.25Cu1C1O5,13,cuprate
K0.2Sr0.8Fe2As2,13,iron-based
La1.79Nd0.1Ba0.11Cu1O4,13,cuprate
Ba0.812K0.188Fe2As2,13,iron-based
Sm1.665Gd0.185Ce0.15Cu1O4,13,cuprate
La2.8Ba3.2Cu6O14.07,13,cuprate
La1.85Ca0.989Sr0.161Cu2O5.93,13,cuprate
Pr1.665Y0.185Ce0.15Cu1O4,13,cuprate
La1.76Sr0.24Cu0.995Zn0.005O4,13,cuprate
La3Ni2B2N3,13.0325,heavy-Fermion
V0.745Ga0.228Al0.027,13.05,others
V3Ga0.957Ge0.043,13.1,others
Nb80Ga18Fe2,13.1,others
Nb0.8Ga0.18Cr0.02,13.1,others
Nb0.75W0.25C1,13.1,others
Nb3Sn0.2Ga0.8,13.1,others
Nb0.25Mo0.75C1,13.1,others
Nb0.5Mo0.5C1,13.1,others
Fe1Te0.58Se0.4S0.02,13.1,iron-based
Mo0.9Ti0.1C1,13.1,others
Fe1Se0.164Te0.656,13.1,iron-based
Zr1N1Cl0.7,13.166667,others
Nb0.7W0.3C1,13.2,others
V0.003Ga0.974Pb0.026,13.2,others
H0.55La0.89Sr0.11Cu0.995Fe0.005O4,13.2,cuprate
La1.85Sr0.15Cu0.9825Co0.0175O4,13.2,cuprate
Sr1Fe1.752Co0.248As2,13.2,iron-based
Sr1Fe1.7Co0.3As2,13.2,iron-based
La0.2Mo6.35Pb0.8S8,13.2,others
Si1V2.7Zr0.3,13.2,others
Nb0.8W0.2C1,13.2,others
Mo0.95Zr0.05C1,13.2,others
Mo5.1Pb0.9S6,13.2,others
Nb0.35Ti0.65N0.97,13.2,others
V2.7Zr0.3Si1,13.2,others
Fe1Se0.41Te0.41,13.2,others
Fe1Se0.25Te0.75,13.225,iron-based
Lu0.945Gd0.055Ni2B2C1,13.28,heavy-Fermion
Sr0.958Eu0.042Fe1.76Co0.24As2,13.3,iron-based
Ga0.233V0.767,13.3,others
Sm1Fe0.925Co0.075As1O1,13.3,iron-based
Ca9.57La0.43Pt3Fe10As18,13.3,iron-based
Ca1Fe0.78Co0.22As1H1,13.3,iron-based
Ba1Fe1.894Pd0.106As2,13.3,iron-based
Ho0.3Lu0.7Ni2B2C1,13.3,heavy-Fermion
Fe1Se0.75Te0.25,13.3,iron-based
V3Si0.87Ga0.13,13.3,others
Fe1Te0.54Se0.45S0.01,13.3,iron-based
Nb78.4Sn12.9Al2.2Ge6.5,13.3,others
Nb77Sn13.8Al6.9Ge2.3,13.3,others
N0.93Nb1,13.3,others
Mo0.9V0.1C1,13.3,others
Fe0.99Co0.01Se0.3Te0.7,13.3,iron-based
Ga0.5Mo5S6Sn1,13.3,others
Ga0.19Nb0.81,13.3,others
V0.75Si0.22Al0.03,13.3,others
V75Si2.57Ga22.4,13.32,others
Li1Fe0.99Ni0.01As1,13.35,iron-based
Fe1Te0.6Se0.4,13.366667,iron-based
Mo5S6Sn1,13.4,others
V2.94Fe0.06Si1,13.4,others
Mo0.1Tc0.9,13.4,others
V2.754Ti0.246Ga1,13.4,others
Ba0.85Ce0.15Fe2As2,13.4,iron-based
Li0.28Zr1N1Cl1,13.4,others
Li1Fe0.975Co0.025As1,13.4,iron-based
Mo6S6Br2,13.4,others
Li0.95Zr1N1Cl1,13.4,others
Sr1Fe1.816Co0.184As2,13.4,iron-based
Na1Fe0.939Co0.061As1,13.4,iron-based
Y1Ni1.98Fe0.02B2C1,13.4,others
Ba1Fe1.87Zn0.04Co0.09As2,13.42,iron-based
Nb0.71Mo0.29C1,13.45,others
Ga1V3,13.496,others
H0.4La1.89Sr0.11Cu0.995Fe0.005O4,13.5,cuprate
Nb0.05Mo0.95C1,13.5,others
Nb1Ru3,13.5,others
Y0.95Gd0.05Ni2B2C1,13.5,others
La1.5Ba1.4Ca0.1Cu3O6.912,13.5,cuprate
V0.75Si0.225Al0.025,13.5,others
La1.83Sr0.17Cu0.65Ni0.35O4,13.5,cuprate
Pr1.295Gd0.555Ce0.15Cu1O4,13.5,cuprate
V2.814Nb0.186Ga1,13.5,others
Gd0.91La0.89Sr0.2Cu1O4,13.5,cuprate
Nd1.665Tb0.185Ce0.15Cu1O4,13.5,cuprate
N0.84Nb1,13.5,others
Y0.47Pr0.53Ba2Cu3O6.96,13.5,cuprate
Pu1Co0.9Fe0.1Ga5,13.5,heavy-Fermion
Fe1.03Te0.8Se0.2,13.5,iron-based
Ca0.92La0.08Fe8.6Pd4.2As18,13.5,iron-based
Al0.33Nb0.67,13.5,others
Ba1Fe1.832Co0.15Mn0.018As2,13.5,iron-based
Sr1Fe1.76Co0.24As2,13.5,iron-based
Fe1Se0.38Te0.62,13.5,iron-based
Ce1Fe0.78Co0.22As1H1,13.5,iron-based
K0.77Zr1N1Cl1,13.5,others
Fe0.95Zn0.05Se0.3Te0.7,13.5,iron-based
Mo0.95Ti0.05C1,13.5,others
Nd1.85Ce0.15Cu0.996Ni0.004O4,13.5,cuprate
Nd0.8Sr0.2Fe1As1O1,13.5,iron-based
N1Nb1,13.544167,others
Ba0.5K0.5Fe1.7Co0.3As2,13.56,iron-based
Nb2.859Zr0.141Al1,13.6,others
Ga0.8Ge0.2V3,13.6,others
Ga26.5V73.5,13.6,others
Nb0.8Ga0.19Cr0.01,13.6,others
Nb3Sn0.4Al0.6,13.6,others
Pd0.84Au0.16H0.9,13.6,others
La1Fe0.5Ru0.5As1F0.11O0.89,13.6,others
La1.85Sr0.15Cu0.978Zn0.022O4,13.6,cuprate
Gd0.32Pr1.53Ce0.15Cu1O4,13.6,cuprate
Lu0.93La0.07Ni2B2C1,13.6,heavy-Fermion
Ca10Pt3.617Fe9.383As18,13.6,iron-based
Fe1.02Te0.8Se0.2,13.6,iron-based
Sr0.8K0.2Fe2As2,13.6,iron-based
C1Mo0.9Ru0.1,13.6,others
Fe1.02Te0.5Se0.5,13.6,others
Fe0.02Te0.8Se0.2,13.6,others
Ga0.265V0.735,13.6,others
Lu0.92La0.08Ni2B2C1,13.6,heavy-Fermion
W0.25Sn0.875Mo6S8,13.635,others
Pb0.9Cu0.18Mo6S8,13.65,others
Bi1.8Pb0.2Sr1.6La0.4Cu1O6.182,13.7,cuprate
La1.751Ba0.249Cu1O4,13.7,cuprate
Y1Ni1.9Pt0.1B2C1,13.7,others
Mo0.18Tc0.82,13.7,others
Nb0.92Hf0.08N0.93,13.7,others
Nb0.85Zr0.15N1,13.7,others
La1.8Sr0.2Cu0.9753Zn0.0247O4,13.7,cuprate
La1.85Sr0.15Cu0.985Ga0.015O4,13.7,cuprate
Ca10Pt4.8Fe9.2As18,13.7,iron-based
Fe1.12Se0.3Te0.7,13.7,iron-based
Fe1Se0.246Te0.574,13.7,iron-based
Sr1.8Ca0.2V1Fe1As1O3,13.7,iron-based
Mo0.9Ru0.1C1,13.7,others
Nb80Ga19Co1,13.7,others
Sn0.6Mo3S4,13.75,others
Y1Ni1.9Cu0.1B2C1,13.75,others
Ho0.25Y0.75Ni2B2C1,13.8,others
Ga0.247V0.753,13.8,others
Y1.8Mo0.2C2.9,13.8,others
Li0.16Zr1N1Cl1,13.8,others
N0.93Nb0.85Zr0.15,13.8,others
Y0.95Ce0.05Ni2B2C1,13.8,others
C1.45Mo0.1Y0.9,13.8,others
Nb0.96Ti0.04N0.9,13.8,others
La1.936Ce0.064Cu1O4,13.8,cuprate
Nb2.775Mo0.225Al1,13.8,others
H0.27La1.89Sr0.11Cu0.995Fe0.005O4,13.8,cuprate
C1Mo0.9Re0.1,13.8,others
Fe1Se0.328Te0.492,13.8,others
Mo0.9Re0.1C1,13.9,others
Al0.3Ga0.7V3,13.9,others
Na1Fe0.9875Co0.0125As1,13.9,iron-based
Fe1.03Te0.72Se0.28,13.9,iron-based
Eu0.6Sr0.4Fe1.715Co0.285As2,13.9,iron-based
Ba1Fe2As0.88P1.12,13.9,iron-based
La1.82Ba0.18Cu0.99Zn0.01O4,13.9,cuprate
La1.885Ba0.115Cu1O4,13.9,cuprate
Al0.1Ga0.9V3,13.9,others
Ga0.255V0.745,13.9,others
Nb3Si0.27Sn0.73,13.9,others
Nb76.3Sn7.1Al14.3Ge2.3,13.9,others
In1V3,13.9,others
Mo0.95V0.05C1,13.9,others
Y2Ba4Cu7O14.19,13.9,cuprate
Sr1Fe1.792Co0.208As2,13.9,iron-based
Ba1Fe1.85Ni0.15As2,13.933333,iron-based
La1.85Sr0.15Cu0.97Ni0.03O4,13.975,cuprate
Pb0.92Mo6S7.5,13.98,others
Nb3Al0.7Be0.3,14,others
La1Fe0.89Co0.11As1O1,14,iron-based
Tl1Ba0.6Ca0.4La1Cu1O5,14,cuprate
Li0.99Fe1.01As1,14,iron-based
La1Fe0.9Rh0.1As1O1,14,iron-based
V0.73Si0.25Al0.02,14,others
Zn0.035Zr1N1Br1,14,others
Y1Ni1.8Pd0.2B2C1,14,others
V3Si0.9Ge0.1,14,others
V3Si0.8Al0.2,14,others
V2.964Mo0.036Si1,14,others
Si0.9V3Ge0.1,14,others
V3Si0.9Al0.1,14,others
Nb2.55V0.45Al1,14,others
Na0.16Ti1N1Cl1,14,others
Mo6Pb1S7,14,others
Na1Fe0.93Co0.07As1,14,iron-based
Mo0.45Tc0.55,14,others
Bi1Pb1Sr0.3Pr0.3Cu1O6,14,cuprate
Sm1Fe1As1F0.085O0.915,14,iron-based
La1Fe0.85Rh0.15As1O1,14,iron-based
