superconductors,measured_Tc,materials_family
Pt0.06Ru0.94,0.29,others
Ir0.9Mo0.1,0.29,others
Pr0.65Ce0.35Pt4Ge12,0.29,heavy-Fermion
Au1Sb2,0.29,others
Zn2Zr1,0.296667,others
Cu3Na2S3,0.3,others
Ag7F1O8,0.3,others
Mo1Te2,0.3,others
La1Pt3Si1,0.3,heavy-Fermion
Y1Ba1.5La0.5Cu3O7,0.3,cuprate
Sr1Ti0.97Zr0.03O3,0.3,others
Ge3Nb5,0.303333,others
Th0.998U0.2,0.304,others
C8K1,0.30475,others
Ce1Pt3Si0.9Ge0.1,0.31,heavy-Fermion
Co0.032Mo99.968,0.31,others
Ge0.937Te1,0.311,others
Ce3Pt1In11,0.32,heavy-Fermion
Au0.4Ge0.6,0.32,others
Co0.015Ru0.985,0.32,others
Cs1V6S8,0.32,others
Sc0.01Zr0.99,0.32,others
Pr0.342Th0.658,0.32,others
Ti1,0.324,others
Au0.635Ge0.205Yb0.16,0.325,others
Au0.875Sn0.125,0.33,others
U1Pd2Al2.4Ga0.6,0.33,heavy-Fermion
Co1Y3,0.34,others
Cr0.1Ru0.9,0.34,others
Ir0.73Os0.17Ru0.1,0.34,others
Co0.28Y0.72,0.34,others
Ag3.3Al1,0.34,others
Au5Ca1,0.34,others
Ir0.9Re0.1,0.34,others
B0.057Si0.943,0.34,others
Al2Pt1,0.343333,others
U0.9397Th0.0603Be13,0.344,heavy-Fermion
Nb5Si3,0.345,others
Pd0.72W0.28,0.345,others
U1Pt2.991Pd0.009,0.345,heavy-Fermion
La1Ni2Ge2,0.345,heavy-Fermion
Fe0.02Sc0.05Zr0.93,0.35,others
La1.85Sr0.15Cu0.975Ga0.025O4,0.35,cuprate
Ce1Rh0.1Ir0.9In5,0.35,heavy-Fermion
Ce1Ru0.2Co1.8,0.35,heavy-Fermion
Co0.3Sc0.7,0.35,others
Ni0.22V0.78,0.35,others
P1Pd3,0.35,others
Ir0.165Rh0.165Os0.67,0.35,others
Pt2Sr1,0.35,others
Ce1Rh2Si2,0.356667,heavy-Fermion
Ni0.031Ru0.969,0.36,others
Rh1Th1,0.36,heavy-Fermion
Au63.5Ge20.5Yb16,0.36,heavy-Fermion
Ir0.4Os0.3Rh0.3,0.37,others
Cr0.39V0.61,0.37,others
Pt1Sn1,0.37,others
La0.7Pr0.3Pb3,0.37,heavy-Fermion
B6Th1,0.37,heavy-Fermion
Hf0.99Zr0.01,0.37,others
Ir1Th1,0.37,heavy-Fermion
Ce1Pt3.03Si0.97,0.37,heavy-Fermion
La3Ni4Ge4,0.37,heavy-Fermion
Ni2Hf1Al1,0.37,others
Rh0.04Ru0.96,0.38,others
Ga1Zr2,0.38,others
Cr0.3Ru0.7,0.38,others
U0.948Th0.052Be13,0.38,heavy-Fermion
La0.9973Ce0.0027Rh3B2,0.38,heavy-Fermion
W1F0.45O2.55,0.38,others
Ce1Cu2Si1.96Ge0.04,0.385,heavy-Fermion
Al0.14Au0.86,0.385,others
P4W14O50,0.39,others
B12Sc1,0.39,others
Al1Os1,0.39,others
La1Pd2Si2,0.39,heavy-Fermion
Cd99.995Mn0.005,0.39,others
La2Ni1Ge3,0.394,heavy-Fermion
Ce2Co1In8,0.4,heavy-Fermion
Ce0.98Th0.02Pt3Si1,0.4,heavy-Fermion
Au5Ba1,0.4,others
La0.35Y0.65,0.4,others
Cr0.6Ir0.4,0.4,others
Co0.007Ru0.993,0.4,others
Ir0.75Os0.25,0.4,others
