,measured_Tc,materials_family
Be2Ga1,6.3,others
Be2Nb1.5Ta1.5,1.7,others
Be3Ga1,6.7,others
Be5Os1,9.2,others
Ir0.58Rh0.36Se2,9.6,others
Be6Ga1,6.0,others
Be8Ga1,5.7,others
Be8Nb5Zr2,5.2,others
Zr2Rh1H0.7,6.0,others
Be9.8Re0.02,9.5,others
La1Ba2Cu3O6.85,93.0,cuprate
Sr2Ca1Cu2.8O7.5,83.0,cuprate
Y1Ba2Cu3H1O7,93.2,cuprate
La1.65Ba1.5Ca0.35Cu3O6.79,72.0,cuprate
Cd0.1Pd0.9,6.92,others
Y1Ba2La1.94Cu3O6.963,91.8,cuprate
Bi0.5La1Y0.5Sr1Cu2O6.04,30.0,cuprate
Tl1Sr1.5La0.5Ca1Cu2O7,90.0,cuprate
Bi0.8Nd0.1Tb0.1Pb1Sr2Ca2Cu3O10,115.25,cuprate
Bi3.9Co0.1S3O4,5.215,others
Hg0.76Tl0.76Ba1Cu1O4.5,87.5,cuprate
Pb0.5Sr2Ca1Cu2.5O6.8,115.0,cuprate
Bi1Pb1Sr2Y0.5Ca0.5Cu2O8,85.0,cuprate
La1.9Gd1.1Ca1Ba2.4Sr0.6Cu6.58In0.42O16.554,58.0,cuprate
La1.5Nd0.5Ca1Ba2Cu4.5Mo0.5O11.119,50.0,cuprate
Tl1Sr1.5Nd0.5Ca1Cu2O7,88.0,cuprate
Pb2Sr2Y0.5Ca0.5Cu3F0.8115O7.3458,78.0,cuprate
Bi1.4Pb0.6Sr2Ca1.4Ga0.6Cu3O7,70.6,cuprate
Bi1.5Ga0.5Sr1.8Ca1.2Cu2O8,41.0,cuprate
Bi1La4Pb2,2.5,heavy-Fermion
La2.1Gd0.7Ca1.4Ba2.8Cu0.7O16.471,79.0,cuprate
Bi1.7Pb0.3Sr2Ca2Cu3F0.2O9.8,111.0,cuprate
Ca1La1Ba1Cu2.8P0.2O7,90.0,cuprate
Hg0.4Pr1.1Sr2Ca0.5Cu2O7.9,76.0,cuprate
Nd0.5Ca0.5Ba0.6La0.4Cu3O6.77,80.5,cuprate
Bi10.1In0.9,5.05,others
Bi12S11O18,4.0,others
Nb1B0.2Rh3,6.4,others
Rh3Bi14,2.94,others
Co0.6Rh0.4Zr2,8.0,others
Rb0.75Fe1.6Se1.5S0.5,28.0,iron-based
Bi3In5,4.189,others
Bi1K1,3.6,others
La1.9Th0.1C1.35,12.7,others
Li1Pb1,7.2,others
Bi1Ni1,4.25,others
O1V3Zr3,7.5,others
Nb2S2C1,7.6,others
Eu1Ba2Cu3S1O6,85.0,cuprate
Gd1Ba1Sr1Cu3O6.94,86.0,cuprate
Sm1Ba1Sr1Cu3O6.94,80.0,cuprate
Bi2Cs1,4.75,others
Mg1C1Ni2.9Fe0.1,8.58,others
Bi2Pd3,3.7,others
Bi2Rb1,4.25,others
La0.6Rh4P12,17.0,heavy-Fermion
La2Rh3Si5,4.4,heavy-Fermion
Ca0.4Nd0.6Fe1As1F1,54.0,iron-based
La1Bi1S2F0.4O0.6,10.26,others
Bi2Se3,4.898,others
Bi2Sr2Ca0.7Y0.3Cu2I1O8,79.0,cuprate
Tl1Sr1.5Pr0.5Ca1Cu2O7,88.0,cuprate
Bi2Sr2Ca0.5Y0.5Cu2I1O8,31.0,cuprate
Bi2Sr2Dy1.64Ce0.36Cu2O10.26,27.0,cuprate
Bi2Sr2Gd1.64Ce0.36Cu2O10.24,34.0,cuprate
Bi2Sr2Ho1.64Ce0.36Cu2O10.22,24.0,cuprate
Nd2Tl2Sr2Cu3O11,44.0,cuprate
Ca8.45Sm1.55Pt3Fe10As18,28.0,iron-based
